cut	54
Partition 0	9,18
Partition 1	4,58
Partition 2	1,26,46
Partition 3	30,50,34
Partition 4	8,33
Partition 5	36,48,38,60
Partition 6	13,65,25
Partition 7	15,57,64
Partition 8	5,55,62
Partition 9	44,31,69
Partition 10	37,47
Partition 11	11,19,29
Partition 12	10,2,22
Partition 13	66,3,43
Partition 14	27,42,52
Partition 15	53,40
Partition 16	20,63,54
Partition 17	0,39,45
Partition 18	51,14
Partition 19	7,49,56
Partition 20	35,28,59
Partition 21	24,23
Partition 22	12,61,32
Partition 23	16,6,17,67
Partition 24	21,41,68
