cut	51
Partition 0	52,64,74
Partition 1	2,14,56
Partition 2	48,50,67
Partition 3	42,73
Partition 4	30,12,29
Partition 5	45,51,79
Partition 6	58,72
Partition 7	6,26,61
Partition 8	10,13,77
Partition 9	1,21,23,40
Partition 10	4,20,80
Partition 11	0,27,32,71
Partition 12	5,49,43
Partition 13	16,36,22
Partition 14	3,47,55
Partition 15	28,87,57
Partition 16	11,17,85
Partition 17	35,53,69
Partition 18	15,19,88
Partition 19	25,31,59
Partition 20	8,44,54,81,89
Partition 21	7,34,37
Partition 22	38,65,75
Partition 23	41,78,66
Partition 24	76,63,84
Partition 25	18,39,62
Partition 26	33,83,46,70
Partition 27	9,82
Partition 28	24,60,68,86
