cut	28
Partition 0	49,3,90,60
Partition 1	21,51,80,40
Partition 2	19,10,33,75
Partition 3	30,0,5,29
Partition 4	73,47,28,78,55
Partition 5	91,36,53,41
Partition 6	92,9,61,45
Partition 7	2,43,46
Partition 8	70,22,23,99,87
Partition 9	39,98,96
Partition 10	1,81,15,66
Partition 11	17,95,44,48
Partition 12	42,84,79,89
Partition 13	16,67,65,37
Partition 14	14,82,86,64
Partition 15	57,54,69,71,50
Partition 16	12,59,77,83
Partition 17	68,93,34,63
Partition 18	38,8,88
Partition 19	31,94,32,97
Partition 20	4,56,26,11,74
Partition 21	27,7,24,85
Partition 22	13,76,72,18,62,20
Partition 23	25,6,52,58,35
