sample	graph_path	lib_path	primitive_only	S_bounds	target_n	max_nodes_to_shift	high_constraint	low_constraint	loop_free	priority	trajectories	output_path
1125	./benchmark/4-input-boolean-circuits/1125	./lib	TRUE	"1,7"		4	"2,2"	4	TRUE	C	1	./results/4-input-boolean-circuits/1125
hexDisplay	./benchmark/electronic-circuits/hexDisplay	./lib	TRUE	"1,7"		5	"2,2"	4	TRUE	C	5	./results/electronic-circuits/hexDisplay
md5Core	/Users/jgzhang/Work/Densmore_lab/Partition/code_version/v2/genetic-circuit-partitioning/2021.4/runs/benchmark/electronic-circuits/md5Core	./lib	TRUE	"3,7"		3	"1,1"	4	TRUE	C	3	/Users/jgzhang/Work/Densmore_lab/Partition/code_version/v2/genetic-circuit-partitioning/2021.4/runs/results/electronic-circuits/md5Core
multiplier	./benchmark/electronic-circuits/multiplier	./lib	TRUE	"3,7"	3	5	"2,2"	4	TRUE	C	1	./results/electronic-circuits/multiplier
RCA4	./benchmark/electronic-circuits/RCA4	./lib	TRUE	"3,7"		5	"2,2"	5	TRUE	C	5	./results/electronic-circuits/RCA4
RCA16	./benchmark/electronic-circuits/RCA16	./lib	TRUE	"1,7"		5	"2,2"	4	TRUE	C	5	./results/electronic-circuits/RCA16
RCA64	./benchmark/electronic-circuits/RCA64	./lib	TRUE	"1,7"		5	"2,2"	3	TRUE	C	5	./results/electronic-circuits/RCA64
alu	./benchmark/electronic-circuits/alu	./lib	TRUE	"1,7"	45	5	"2,2"	4	TRUE	C	5	./results/electronic-circuits/alu
80727	./benchmark/5-input-boolean-circuits/80727	./lib	TRUE	"3,6"		5	"1,1"	3	TRUE	C	10	./results/5-input-boolean-circuits/80727/test
test	./benchmark/test/	./lib	TRUE	"2,6"	4	1	"1,1"	2	TRUE	C	1	./results/test
md30	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,7"	30	3	"1,1"	5	TRUE	C	1	./results/electronic-circuits/md5Core
md31	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,7"	31	3	"1,1"	4	TRUE	C	3	./results/electronic-circuits/md5Core
md32	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,7"	32	3	"1,1"	4	TRUE	C	3	./results/electronic-circuits/md5Core
md50	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,6"	50	3	"1,1"	4	TRUE	C	3	./results/electronic-circuits/md5Core
md51	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	51	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
md52	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	52	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
md53	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	53	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
md54	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	54	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
md55	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,6"	55	3	"1,1"	4	TRUE	C	3	./results/electronic-circuits/md5Core
md56	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	56	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
md57	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	57	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
md58	./benchmark/electronic-circuits/md5Core	./lib	TRUE	"1,5"	58	3	"1,1"	3	TRUE	C	5	./results/electronic-circuits/md5Core
