sample	graph_path	lib_path	primitive_only	S_bounds	target_n	max_nodes_to_shift	high_constraint	low_constraint	trajectories	output_path
6842	./benchmark/4-input-boolean-circuits/6842	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/6842
62670	./benchmark/4-input-boolean-circuits/62670	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/62670
50119	./benchmark/4-input-boolean-circuits/50119	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/50119
54384	./benchmark/4-input-boolean-circuits/54384	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/54384
61894	./benchmark/4-input-boolean-circuits/61894	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/61894
30293	./benchmark/4-input-boolean-circuits/30293	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/30293
6471	./benchmark/4-input-boolean-circuits/6471	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/6471
39917	./benchmark/4-input-boolean-circuits/39917	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/39917
39513	./benchmark/4-input-boolean-circuits/39513	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/39513
56815	./benchmark/4-input-boolean-circuits/56815	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/56815
7365	./benchmark/4-input-boolean-circuits/7365	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/7365
58720	./benchmark/4-input-boolean-circuits/58720	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/58720
64111	./benchmark/4-input-boolean-circuits/64111	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/64111
7620	./benchmark/4-input-boolean-circuits/7620	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/7620
11258	./benchmark/4-input-boolean-circuits/11258	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/11258
18321	./benchmark/4-input-boolean-circuits/18321	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/18321
36445	./benchmark/4-input-boolean-circuits/36445	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/36445
38389	./benchmark/4-input-boolean-circuits/38389	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/38389
56905	./benchmark/4-input-boolean-circuits/56905	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/56905
47870	./benchmark/4-input-boolean-circuits/47870	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/47870
38141	./benchmark/4-input-boolean-circuits/38141	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/38141
56565	./benchmark/4-input-boolean-circuits/56565	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/56565
1125	./benchmark/4-input-boolean-circuits/1125	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/1125
53427	./benchmark/4-input-boolean-circuits/53427	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/53427
50293	./benchmark/4-input-boolean-circuits/50293	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/50293
16418	./benchmark/4-input-boolean-circuits/16418	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/16418
39057	./benchmark/4-input-boolean-circuits/39057	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/39057
32474	./benchmark/4-input-boolean-circuits/32474	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/32474
19890	./benchmark/4-input-boolean-circuits/19890	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/19890
55714	./benchmark/4-input-boolean-circuits/55714	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/55714
58459	./benchmark/4-input-boolean-circuits/58459	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/58459
39469	./benchmark/4-input-boolean-circuits/39469	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/39469
49513	./benchmark/4-input-boolean-circuits/49513	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/49513
36208	./benchmark/4-input-boolean-circuits/36208	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/36208
16891	./benchmark/4-input-boolean-circuits/16891	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/16891
57451	./benchmark/4-input-boolean-circuits/57451	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/57451
3857	./benchmark/4-input-boolean-circuits/3857	./lib	True	3,7		5	2,2	4	1	./results/4-input-boolean-circuits/3857
