iteration	t
1	30,67,159,209,281,385,439,442,660,726,742,826,829,848,902,1045,1217,1218,2582,2662,3012,4352,4758,6571,7364,7440,10280,11111,12060,12498,12515,12703,12842,55324,208095,208697,473724
2	1,68,240,277,432,451,471,652,714,781,848,903,984,1019,1346,1395,1556,1601,1697,1712,1768,1805,2302,2375,3241,3293,3309,3996,4270,4523,5155,5322,6927,43347
3	60,87,93,104,292,304,323,502,518,574,584,817,896,935,1058,1318,1373,1500,1822,2047,3261,3756,5178,6121,6612,6626,6851,7102,7173,8094,8555,29943,30519,80628,140411
4	20,24,33,57,62,63,133,214,320,370,418,579,683,720,975,1581,1704,1848,2317,2404,2496,2980,3027,3473,4278,5024,11866,13376,13614,17246,19846,20752,23750,47250,136617
5	64,130,163,178,179,188,262,300,475,535,536,550,587,603,619,714,824,911,1258,1378,1459,1570,2139,3925,6611,12342,18814,19890,20864,23228,61647,172126
6	186,218,341,452,469,494,587,802,825,838,864,865,1101,1341,1636,1750,2004,2148,2316,2810,2887,3008,3363,3628,3692,3797,4410,10317,12077,12310,25122,102474
7	15,39,102,119,189,256,307,408,419,539,545,554,625,654,858,1073,1207,1211,1349,1519,1655,1896,2521,2549,2959,4816,4913,7241,7823,23139,31043,97439,97756,225186
8	15,45,85,137,157,170,175,183,288,561,733,737,826,847,901,910,971,1269,1765,3318,4886,5027,7832,9285,11081,17222,23139,23587,25991,26001,26036,34623,464036
9	72,137,147,229,255,292,312,365,376,394,423,437,494,649,665,688,892,1035,1093,1110,1163,1172,1206,1372,1457,2278,2898,3337,4464,5010,14789,41462,41694,79605,296328
10	3,72,73,115,160,183,216,228,238,259,268,304,416,613,1019,1023,1422,1853,2180,2254,3259,3331,3681,3974,4000,4375,4855,4909,5347,7218,10877,11953,14959,494130
