cut	110
Partition 1	2129,2068
Partition 2	2138,2140
Partition 3	2130,2139,2076
Partition 4	2131,2132
Partition 5	2066,2142
Partition 6	2135,2136,2137
Partition 7	2133,2134
Partition 8	2099,2100
Partition 9	2063,2088,2089
Partition 10	2082,2083,2062
Partition 11	2145,2148
Partition 12	2141,2149
Partition 13	2143,2144,2150,2151
Partition 14	2146,2147
Partition 15	2103,2104
Partition 16	2094,2095
Partition 17	2097,2098,2105,2106
Partition 18	2102,2101
Partition 19	2077,2067
Partition 20	2093,2107
Partition 21	2078,2090,2091,2092
Partition 22	2069,2111
Partition 23	2109,2108
Partition 24	2112,2113,2110
Partition 25	2079,2080
Partition 26	2065
Partition 27	2096,2075
Partition 28	2081,2085,2084,2086,2087
Partition 29	2167,2154
Partition 30	2153,2152
Partition 31	2168,2171
Partition 32	2180,2175,2178
Partition 33	2170,2169,2172
Partition 34	2127,2128
Partition 35	2174,2173,2177
Partition 36	2072,2158
Partition 37	2070
Partition 38	2156,2157,2160,2074
Partition 39	2163,2164,2166
Partition 40	2161,2162,2165
Partition 41	2155,2159
Partition 42	2114,2071,2115
Partition 43	2182,2181
Partition 44	2188,2123
Partition 45	2064,2125,2126
Partition 46	2116,2117
Partition 47	2121,2122
Partition 48	2118,2073,2119
Partition 49	2120,2179
Partition 50	2124,2183
Partition 51	2199,2184
Partition 52	2185
Partition 53	2187,2189
Partition 54	2192,2191,2193,2190
Partition 55	2186,2195
Partition 56	2196,2194,2197,2198
Partition 57	2176
Partition 58	2200
