cut	29
Partition 0	32,9,15,13
Partition 1	6,44,10,47
Partition 2	77,27,20,58
Partition 3	14,71,62
Partition 4	70,7,88,83
Partition 5	39,12,26
Partition 6	38,54,68
Partition 7	11,17,48,23
Partition 8	41,30,80
Partition 9	34,8,42,43
Partition 10	5,79,72
Partition 11	81,36,61
Partition 12	65,66,67
Partition 13	87,86,59,60
Partition 14	25,82,53,74
Partition 15	4,1,3,78
Partition 16	85,64,69,35
Partition 17	33,19,24,76
Partition 18	73,22,31,46
Partition 19	45,40,63,84
Partition 20	0,89,18,37,21
Partition 21	52,51,75
Partition 22	28,55,29,57
Partition 23	56,2,50,16,49
