cut	120
Partition 0	2078,2075,2091
Partition 1	2065,2096,2084,2081
Partition 2	2200,a_o[1],b_i[1],2199
Partition 3	2185,2183,2184,2182
Partition 4	2125,s_i[0],2126,2188
Partition 5	s_i[1],2064,2124,2123
Partition 6	2198,a_o[0],2196,2197
Partition 7	2193,2186,2195,2194
Partition 8	2191,2192,2187,2189,2190
Partition 9	2107,2105,2106,2104
Partition 10	2097,2095,2098
Partition 11	2090,c_i[1],2092,2093
Partition 12	2079,2101,d_i[1],2067
Partition 13	2077,2080,2102,2085,2103
Partition 14	2063,2088,2099,2089
Partition 15	round_i[1],2082,2094,round_i[0],2062
Partition 16	2086,2083,2087
Partition 17	2111,2109,2110,2108
Partition 18	a_i[1],2069,2112,2100
Partition 19	2176,2173,2178,2171
Partition 20	2127,2128,2174,2175,2172
Partition 21	a_i[0],2070,2162,2161
Partition 22	2164,2163,2166,2168,2169
Partition 23	2165,2153,2154,2170,2167
Partition 24	2113,2115,2114
Partition 25	m_i[1],2071,2116,2117
Partition 26	t_i[1],2121,2122
Partition 27	2073,2119,2118
Partition 28	2120,2180,2179,2181,2177
Partition 29	2131,2145,d_i[0],2068
Partition 30	b_i[0],2066,2142,2143
Partition 31	2129,2130,2138,2139,2140
Partition 32	c_i[0],2135,2136,2137
Partition 33	2132,2076,2134,2133
Partition 34	2148,2141,2149,2150
Partition 35	2146,2144,2151,2147
Partition 36	2157,2160,2152
Partition 37	2072,2156,2158,2074
Partition 38	m_i[0],2155,2159,t_i[0]
