cut	100
Partition 1	2142,2143,2144,2076
Partition 2	2066,2131
Partition 3	2132,2133,2135,2134,2136
Partition 4	2138,2140
Partition 5	2129,2068
Partition 6	2130,2139
Partition 7	2146,2147,2145,2148
Partition 8	2088,2089
Partition 9	2150,2151
Partition 10	2063,2099,2100
Partition 11	2082,2083,2062
Partition 12	2087
Partition 13	2098,2094,2095
Partition 14	2097
Partition 15	2106
Partition 16	2077,2090,2067
Partition 17	2107
Partition 18	2078,2091
Partition 19	2069,2111
Partition 20	2109
Partition 21	2112,2113,2110
Partition 22	2065,2185
Partition 23	2096,2075
Partition 24	2079,2080
Partition 25	2081,2085,2084,2086
Partition 26	2168,2171
Partition 27	2072,2156,2155,2159
Partition 28	2157,2074
Partition 29	2164,2166
Partition 30	2161
Partition 31	2070,2163
Partition 32	2162,2165
Partition 33	2153,2152
Partition 34	2170,2169,2172
Partition 35	2128,2176,2175,2178
Partition 36	2174,2173,2177
Partition 37	2127
Partition 38	2186,2195
Partition 39	2200
Partition 40	2124,2183
Partition 41	2196,2194,2197,2198
Partition 42	2187,2189
Partition 43	2192,2191,2193,2190
Partition 44	2182
Partition 45	2120,2179,2181
Partition 46	2064,2125,2126,2188
Partition 47	2114,2071,2115
Partition 48	2116,2117
Partition 49	2118,2073,2119
Partition 50	2121,2122
Partition 51	2108
Partition 52	2102,2103,2101,2104
Partition 53	2199,2184
Partition 54	2158,2160
Partition 55	2180
Partition 56	2123
Partition 57	2137
Partition 58	2105
Partition 59	2092
Partition 60	2093
Partition 61	2149
Partition 62	2141
Partition 63	2154
Partition 64	2167
