cut	55
Partition 0	18,36,4,98
Partition 1	2,37,87,93,80
Partition 2	15,19,64,77
Partition 3	76,74,81
Partition 4	13,22,26,59
Partition 5	95,97,43,62
Partition 6	3,29,56,79
Partition 7	53,52,67,60
Partition 8	5,8,10,32
Partition 9	1,25,40,71
Partition 10	27,45,70,99
Partition 11	0,28,34,39
Partition 12	48,57,23,66
Partition 13	16,61,82
Partition 14	7,11,38,90
Partition 15	44,88,91,54
Partition 16	21,72,24
Partition 17	63,17,85,89
Partition 18	83,86,92,96
Partition 19	6,55,68
Partition 20	12,35,46,49
Partition 21	14,50,51,69
Partition 22	9,20,30,31
Partition 23	33,41,47,84
Partition 24	42,75,58,78
Partition 25	65,73,94
