cut	90
Partition 0	9,28,60
Partition 1	56,39,40
Partition 2	79,14,13
Partition 3	50,21,66
Partition 4	4,45,73
Partition 5	10,55,48
Partition 6	57,27,34
Partition 7	29,70,82
Partition 8	49,15,78
Partition 9	24,72,80
Partition 10	58,23,88
Partition 11	1,41,77
Partition 12	52,84,59
Partition 13	5,61,44,18
Partition 14	2,38,87
Partition 15	83,47,71
Partition 16	22,3,89
Partition 17	26,69
Partition 18	74,43,68
Partition 19	8,12,25
Partition 20	7,64,42,46
Partition 21	11,32,76
Partition 22	81,35,62
Partition 23	6,20,86
Partition 24	67,30,36
Partition 25	16,37,51
Partition 26	17,19,65
Partition 27	0,75,54
Partition 28	31,33,53,63,85
