cut	54
Partition 0	13,48,14
Partition 1	1,46,68,99
Partition 2	27,30,70,86
Partition 3	41,79,82
Partition 4	4,54,60
Partition 5	0,72,80,98
Partition 6	9,50,76,96
Partition 7	16,62,21,89
Partition 8	47,53,90,95
Partition 9	2,20,8,29
Partition 10	23,10,24
Partition 11	40,75,77,88
Partition 12	17,39,64,97
Partition 13	32,56,92,66
Partition 14	6,26,42,65,85
Partition 15	5,69,31,34
Partition 16	38,45,83
Partition 17	44,12,49,57
Partition 18	22,28,37,63
Partition 19	11,43,73,74,78
Partition 20	15,36,94
Partition 21	7,51,61
Partition 22	18,25,81
Partition 23	3,19,55,91
Partition 24	52,59,84
Partition 25	33,35,67,87
Partition 26	58,71,93
