cut	38
Partition 0	3530,3521,3531,3587,3582
Partition 1	3588,3586,3589,3591,3590
Partition 2	3570,3571,3585,3584,3572,3583
Partition 3	3527,3523,3526,3528,3529
Partition 4	3575,3576,3561,3577,3563,3562
Partition 5	3539,3538,3568,3555,3540,3525
Partition 6	3522,3537,3569,3573,3578,3574
Partition 7	3557,3558,3556,3554,3559
Partition 8	3567,3580,3566,3565,3579
Partition 9	3547,3548,3564,3549,3560
Partition 10	3594,3593,3592,3520,3581
Partition 11	3553,3535,3524,3536,3552
Partition 12	3533,3532,3534,3550,3551
Partition 13	3541,3543,3542,3544,3546,3545
