cut	107
Partition 0	2063,2088
Partition 1	2145,2148,2147
Partition 2	2146,2099,2100
Partition 3	2094,2095,2144
Partition 4	2151,2150,2152
Partition 5	2089,2141,2149
Partition 6	2143,2068
Partition 7	2138,2140
Partition 8	2129,2130,2139
Partition 9	2066,2131
Partition 10	2142,2076
Partition 11	2132,2135
Partition 12	2134,2136,2137,2133
Partition 13	2069,2111
Partition 14	2109,2110,2108
Partition 15	2083,2087
Partition 16	2084,2086
Partition 17	2079,2080,2081
Partition 18	2085,2082,2062
Partition 19	2107,2106
Partition 20	2098,2105,2104
Partition 21	2102,2101,2103
Partition 22	2078,2091
Partition 23	2090,2092,2093
Partition 24	2065,2096,2075
Partition 25	2077,2097,2067
Partition 26	2155,2159
Partition 27	2162,2165
Partition 28	2070,2161,2163
Partition 29	2164,2166
Partition 30	2157,2156,2074
Partition 31	2072,2158,2160
Partition 32	2128,2173
Partition 33	2120,2179
Partition 34	2127,2174,2177
Partition 35	2175,2178
Partition 36	2170,2169,2172
Partition 37	2153,2154,2168
Partition 38	2176,2167,2171
Partition 39	2116,2117
Partition 40	2112,2113
Partition 41	2071,2115,2114
Partition 42	2121,2122
Partition 43	2073,2119,2118
Partition 44	2180,2181
Partition 45	2064,2125,2126,2182
Partition 46	2199,2184
Partition 47	2123,2188
Partition 48	2200,2185,2124,2183
Partition 49	2192,2187,2189
Partition 50	2191,2190
Partition 51	2198,2196,2197
Partition 52	2193,2186,2195,2194
