iteration	t
1	8,18,33,38,45,46,47,67,92,103,143,169,173,175,181,302,304,324,327,353,372,381,432,450,492,569,921,994,1038,1069,1213,1328,1588,1685,1819,1859,2527,3052,3392,3985,5852,6329
2	10,20,22,35,71,90,96,111,158,160,178,183,192,243,256,299,310,311,429,515,576,602,694,770,939,1100,1169,1217,1345,1554,1754,2090,2612,3020,3336,3452,4458,5071,6791,7382,9129,14782,15679,27758,395585
3	11,30,121,140,144,149,182,186,192,258,263,273,294,320,386,397,485,603,621,622,634,771,827,844,903,964,1073,1170,1205,1395,1976,2417,2706,2792,2967,3072,3150,3294,3560,3823,4054,4155,5737,5739,19310,54724,102290
4	16,25,36,49,59,77,112,117,127,148,150,171,217,223,259,260,262,279,288,340,350,368,384,430,532,611,630,703,881,997,1109,1188,1264,1437,1453,1574,1584,2613,2983,3046,3250,3541,4423,9257,12983,16087
5	2,43,52,75,83,98,115,123,139,144,203,242,248,297,306,313,329,358,371,390,391,425,508,524,541,638,677,719,762,774,936,985,1158,1232,1314,1703,1862,1960,1993,2238,2243,2353,4619,4926,4954,6048,7281,8440,10566
6	2,6,8,26,27,28,44,64,71,110,115,151,153,174,202,211,224,228,268,285,378,413,421,472,496,528,564,573,656,726,746,889,899,949,952,1076,1300,1430,1460,1609,1681,1877,1988,2593,2823,3603,4351,11636,12113,12296,12776,18877
7	21,44,48,59,65,80,85,104,130,147,244,309,436,467,476,638,641,651,687,725,806,921,940,1108,1127,1139,1146,1172,1213,1221,1345,1453,1627,1786,2157,3040,3599,3943,17917,17984,25945
8	6,48,77,90,111,119,151,200,215,231,282,321,347,352,375,413,465,501,697,910,915,917,960,1245,1444,1611,1703,1710,1942,1954,1984,2029,2160,2207,2320,2753,2974,3072,3737,4050,6850,7201,7727,9262,10222,12652
9	32,34,47,51,61,63,66,84,86,143,158,179,229,300,314,375,382,383,393,424,437,554,689,758,775,835,869,965,1019,1121,1137,1249,1405,1419,1425,1485,1748,1842,2366,2606,8701,16743,49167
10	2,35,48,91,127,130,157,158,186,200,214,236,257,265,266,267,345,361,399,470,501,517,529,611,675,888,894,982,1008,1162,1218,1416,2051,2168,2539,2774,3071,3867,9356,9799,42460,44449,96786
