path	1
T	2
cut	7
Partition 0	797,812,800,811,810,809
Partition 1	802,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,807,796
path	2
T	2
cut	6
Partition 0	797,812,800,811,810
Partition 1	802,809,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,807,796
path	3
T	2
cut	6
Partition 0	797,812,800,811,810
Partition 1	802,809,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,807,796
path	4
T	2
cut	7
Partition 0	797,812,800,813,807,803
Partition 1	802,809,801,808,798,806,805
Partition 2	820,817,819,818,811,810
Partition 3	814,815,799,804,796,816
path	5
T	3
cut	9
Partition 0	812,800,811,810,807
Partition 1	802,809,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,796,797
path	6
T	3
cut	8
Partition 0	797,812,800,811,810
Partition 1	802,809,801,808,806,815,805
Partition 2	820,816,817,813,819,818
Partition 3	814,799,804,803,807,796,798
path	7
T	2
cut	6
Partition 0	797,812,800,811,810
Partition 1	802,809,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,807,796
path	8
T	3
cut	7
Partition 0	797,812,800,811,810,816
Partition 1	802,809,801,808,798,806,805
Partition 2	820,817,813,819,818
Partition 3	814,815,799,804,803,807,796
path	9
T	2
cut	6
Partition 0	797,812,800,811,810
Partition 1	802,809,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,807,796
path	10
T	2
cut	6
Partition 0	797,812,800,811,810
Partition 1	802,809,801,808,798,806,805
Partition 2	820,816,817,813,819,818
Partition 3	814,815,799,804,803,807,796
