iteration	t
1	431,440,638,966,1350,1456,1466,1662,1732,2297,2305,2654,2709,2744,2868,2928,2966,3005,3038,3061,3334,5017,5399,5852,5864,5898,5984,6530,6533
2	1348,1373,1452,1506,1535,1548,1553,1575,1638,3965,3971,4874,4883,4887
3	11,44,59,80,127,582,746,809,889,4485,4499,4774
4	470,480,494,525,538,554,578,655,1572
5	2436,2453,2465,2481,2490,2509,2511,2520,2536,2541,2618,2814,2834,3029,3746,5783
6	32,43,102,109,115,368
7	16,82,132,149,256,727,2251,3016,3395,3396,3449
8	25,46,1270,3375,3493
9	3,15,401,867,3736,12161
10	9,59,73,86,263,292
