cut	96
Partition 0	78,81,79,80
Partition 1	14,24,41,43
Partition 2	65,46,45,44
Partition 3	15,67,68,66
Partition 4	7,18,16,17
Partition 5	3,2,4,5,6
Partition 6	69,70,71
Partition 7	77,75,84,76
Partition 8	74,72,73,94,26
Partition 9	58,61,59,60
Partition 10	96,97,48,95
Partition 11	0,1,99,98,56
Partition 12	13,10,11,12
Partition 13	50,52,53,51
Partition 14	9,93,55,54
Partition 15	91,92,90,89
Partition 16	87,88,86
Partition 17	8,85,57
Partition 18	39,40,37,38
Partition 19	35,32,34,36
Partition 20	29,27,28,30,31,33
Partition 21	22,20,21,23
Partition 22	83,49,82,47,42
Partition 23	64,19,25,63,62
