cut	46
Partition 0	85,32,64
Partition 1	3,10,87
Partition 2	5,6,2,48
Partition 3	35,71,36
Partition 4	11,52,38,83
Partition 5	33,22,41,74
Partition 6	62,68,50,58
Partition 7	8,40,28
Partition 8	55,9,12,45,72
Partition 9	37,19,60,88
Partition 10	1,21,79,29
Partition 11	0,66,27,13
Partition 12	43,73,78
Partition 13	18,81,61,70
Partition 14	44,76,47,53
Partition 15	16,14,46
Partition 16	23,24,17
Partition 17	15,59,56,69
Partition 18	82,30,65
Partition 19	4,54,20
Partition 20	49,63,51,77,86
Partition 21	34,57,42,84,89
Partition 22	7,31,80
Partition 23	26,67,75,39,25
