cut	100
Partition 0	19,48,62
Partition 1	21,12,13
Partition 2	0,22,45
Partition 3	31,30,27,77
Partition 4	40,55,53,61
Partition 5	59,39,47
Partition 6	3,44,15
Partition 7	69,50,71,68
Partition 8	72,17,18
Partition 9	41,37,57,63
Partition 10	11,73,74,65
Partition 11	28,26,9
Partition 12	35,54,8
Partition 13	36,4,2,5
Partition 14	66,34,42
Partition 15	51,6,49
Partition 16	24,25,14,23
Partition 17	1,32,70
Partition 18	79,16,29
Partition 19	58,60,43,38
Partition 20	52,10,33
Partition 21	7,46,75,67
Partition 22	76,78,56,64,20
