iteration	t
1	30,51,175,523,566,598,636
2	44,183,667,684,1487,1601
3	889,898,1128,1798,1828,2597,4183,4195
4	2156,2216,2273,2361
5	191,306,366,450,459,545,588
6	1603,1872,2734
7	1952,1986,2161,2392
8	814,944,1607,2903,3589,3619
9	948,1080,1172,1412,1448,2165,3227
10	17,221,497,559,1066,1136,1252,1457,4596,4600
