cut	108
Partition 0	2138,2140
Partition 1	2129,2130,2143
Partition 2	2142,2076,2139
Partition 3	2135,2068
Partition 4	2134,2136,2133
Partition 5	2066,2131,2132
Partition 6	2083,2137
Partition 7	2082,2062
Partition 8	2063,2088,2089
Partition 9	2146,2099,2100
Partition 10	2145,2148,2147
Partition 11	2141,2149
Partition 12	2144,2151,2150
Partition 13	2065,2079
Partition 14	2080,2081
Partition 15	2085,2084,2086
Partition 16	2090,2092
Partition 17	2096,2097,2075
Partition 18	2077,2078,2091,2067
Partition 19	2094,2095
Partition 20	2102,2101,2103
Partition 21	2098,2105,2104
Partition 22	2069,2111
Partition 23	2112,2113,2110
Partition 24	2093,2107,2106
Partition 25	2087,2109,2108
Partition 26	2175,2178
Partition 27	2174,2173,2177
Partition 28	2127,2128,2176
Partition 29	2169,2172
Partition 30	2154,2167,2171
Partition 31	2153,2168,2170,2152
Partition 32	2161,2165
Partition 33	2162,2155,2159
Partition 34	2070,2163
Partition 35	2072,2158,2160
Partition 36	2157,2156,2074
Partition 37	2164,2166
Partition 38	2071,2115,2114
Partition 39	2073,2120
Partition 40	2116,2117,2121
Partition 41	2119,2122,2118
Partition 42	2064,2125
Partition 43	2187,2180,2181
Partition 44	2126,2179,2182
Partition 45	2124,2123
Partition 46	2192,2189,2188
Partition 47	2191,2193,2190
Partition 48	2183,2184
Partition 49	2200,2199,2185
Partition 50	2198,2196,2197
Partition 51	2186,2195,2194
