path	3
T	12
cut	46
Partition 0	15,16,59,14,23,24,17,56,46
Partition 1	18,44,81,73,76,47,53,69,78
Partition 2	7,75,31,34,57,84,80
Partition 3	4,82,54,20,30,42,65,72,49,86
Partition 4	67,39,43,61,70,63,51,25,77
Partition 5	87,85,32,35,71,36
Partition 6	11,52,64,33,22,41,38,74,83
Partition 7	66,8,37,19,60,27,13,45,88
Partition 8	40
Partition 9	1,10,5,6,2,48,62,68,50,58
Partition 10	12
Partition 12	9
Partition 13	28
Partition 14	55
Partition 15	0,3
Partition 16	89
Partition 17	29
Partition 18	79
Partition 19	21
Partition 20	26
