iteration	t
1	21,438,1103,1109,1810,5860,6397,9839
2	155,260,653,912,1255,1903,2114,33972
3	7,84,354,363,600,688,831,2093,3978
4	190,196,785,1779,1986,2205,2993,24892
5	80,93,137,482,2045,2676,6898,42526
6	49,152,760,1154,1835,20131
7	182,277,427,1143,3557,7029,88054
8	16,140,334,406,519,619,16812,20847
9	200,279,636,786,1070,1349,6675
10	177,342,347,558,749,1927
