cut	94
Partition 0	14,15,16
Partition 1	17,18,19
Partition 2	22,20,21
Partition 3	29,31,30
Partition 4	24,23,25
Partition 5	39,26,27,28
Partition 6	40,42,41
Partition 7	34,33,35
Partition 8	78,37,38,36
Partition 9	51,49,50
Partition 10	48,32,47
Partition 11	46,44,45,43
Partition 12	6,5,7,9
Partition 13	80,79,81
Partition 14	85,86,87
Partition 15	84,82,83
Partition 16	4,8,76
Partition 17	10,11,77
Partition 18	3,12,13
Partition 19	0,1,89,2,88
Partition 20	53,52,54
Partition 21	60,59,61
Partition 22	58,57,55,56
Partition 23	67,68,66
Partition 24	62,65,63,64
Partition 25	70,69,71
Partition 26	75,74,73,72
