cut	51
Partition 0	10,49,92
Partition 1	0,14,69,88
Partition 2	67,71,80
Partition 3	31,35,79
Partition 4	1,73,53,64
Partition 5	41,19,59
Partition 6	3,4,44,91
Partition 7	50,70,97,96
Partition 8	6,29,86
Partition 9	34,52,60,89
Partition 10	5,18,48
Partition 11	23,76,83,87
Partition 12	26,56,95
Partition 13	74,77,82
Partition 14	61,27,47
Partition 15	25,36,51
Partition 16	45,72,93
Partition 17	9,30,58
Partition 18	22,68,99
Partition 19	42,66,84
Partition 20	17,54,55,75,94
Partition 21	11,16,62
Partition 22	24,57,65,78
Partition 23	20,90,98
Partition 24	2,15,63,37
Partition 25	12,21,38
Partition 26	7,8,40,43
Partition 27	13,46,81
Partition 28	28,32,33,39,85
