cut	101
Partition 0	59,21,23,22,24
Partition 1	25,27,55,26,54
Partition 2	17,30,71,38
Partition 3	58,56,40,82,57
Partition 4	18,81,78,80,79
Partition 5	69,83,62,63,61
Partition 6	48,85,87,39,86
Partition 7	47,49,34,60,50
Partition 8	7,11,6,8,88
Partition 9	4,20,12,51,9,10
Partition 10	41,19,93,95,14
Partition 11	94,90,89,92,91
Partition 12	67,5,65,68,28
Partition 13	0,99,98,42,96
Partition 14	1,3,2,15,16
Partition 15	76,74,77,73,75
Partition 16	97,36,13,72,37,35
Partition 17	43,44,45,53
Partition 18	64,52,84,70,66
Partition 19	32,33,31,29,46
