cut	42
Partition 0	0,15,19,47,66,71,93
Partition 1	25,41,62,79,27,51
Partition 2	1,11,35,89,50,56
Partition 3	28,43,17,75,86
Partition 4	7,12,32,39,65,92
Partition 5	26,44,69,38,49,63
Partition 6	4,14,37,40,58,88
Partition 7	16,30,33,22,80,95
Partition 8	8,64,68,73,78,90
Partition 9	13,24,48,52,74,85
Partition 10	9,23,34,46,54,98
Partition 11	3,10,72,82,87
Partition 12	55,42,53,99,91
Partition 13	20,6,59,67,94
Partition 14	5,18,21,57,77,83
Partition 15	2,31,36,45,60,96,70
Partition 16	29,61,76,97,81,84
