cut	46
Partition 0	18,6
Partition 1	14,19,43
Partition 2	12,20,35
Partition 3	4,8,15
Partition 4	9,21
Partition 5	37,38,41
Partition 6	27,24,33
Partition 7	7
Partition 8	11,30,48
Partition 9	40,36
Partition 10	31,47,44
Partition 11	46,34
Partition 12	22,28,29
Partition 13	32,45,39,49
Partition 14	1,17,23
Partition 15	5,13
Partition 16	3,10
Partition 17	25,42,26
Partition 18	2,16
