cut	48
Partition 0	0,4,54,60,80
Partition 1	27,72,82,86,98
Partition 2	9,47,50,76,96,95
Partition 3	1,46,48,68,99
Partition 4	13,70,14,41,79
Partition 5	62,21,89
Partition 6	20,16,29,53,90
Partition 7	17,39,64,97
Partition 8	2,23,8,10,24
Partition 9	40,75,77,88
Partition 10	7,18,51,61
Partition 11	15,25,81,36,94
Partition 12	19,33,59,71,67
Partition 13	30,3,52,55,84
Partition 14	35,58,91,87,93
Partition 15	38,45,49,57,83
Partition 16	12,11,22,28,63
Partition 17	37,43,73,74,78
Partition 18	32,56,92,66
Partition 19	5,26,44,31,34
Partition 20	6,42,65,69,85
