Start cell number	Iteration	End cell number	QS Number	QS Distribution by cell
47	1	69	1.0,2.0,3.0,4.0,5.0,6.0	10,17,27,11,2,2
47	2	63	1.0,2.0,3.0,4.0,5.0,6.0	11,13,26,7,3,3
47	3	65	1.0,2.0,3.0,4.0,5.0,6.0	10,15,23,12,4,1
47	4	65	1.0,2.0,3.0,4.0,5.0,6.0	10,17,25,5,5,3
47	5	66	1.0,2.0,3.0,4.0,5.0,6.0	11,14,29,6,3,3
48	1	67	1.0,2.0,3.0,4.0,5.0,6.0,8.0	12,14,27,10,1,2,1
48	2	66	1.0,2.0,3.0,4.0,5.0,6.0	12,15,24,8,5,2
48	3	65	1.0,2.0,3.0,4.0,5.0,6.0,7.0	10,16,23,11,3,1,1
48	4	68	1.0,2.0,3.0,4.0,5.0,6.0,8.0	12,19,21,7,6,2,1
48	5	69	1.0,2.0,3.0,4.0,5.0,6.0,8.0	11,18,25,11,2,1,1
49	1	65	1.0,2.0,3.0,4.0,5.0,6.0	13,14,25,6,2,5
49	2	61	1.0,2.0,3.0,4.0,5.0,6.0,7.0	11,13,22,10,3,1,1
49	3	65	1.0,2.0,3.0,4.0,5.0,6.0,7.0	12,13,25,10,3,1,1
49	4	64	1.0,2.0,3.0,4.0,5.0,6.0,7.0	12,16,21,9,1,3,2
49	5	70	1.0,2.0,3.0,4.0,5.0,7.0	12,17,29,6,4,2
50	1	68	1.0,2.0,3.0,4.0,5.0,7.0	11,20,22,8,6,1
50	2	66	1.0,2.0,3.0,4.0,5.0	12,16,23,8,7
50	3	63	1.0,2.0,3.0,4.0,5.0,6.0	11,12,26,7,6,1
50	4	68	1.0,2.0,3.0,4.0,5.0,6.0,7.0	13,17,23,8,5,1,1
50	5	70	1.0,2.0,3.0,4.0,5.0	12,18,26,8,6
51	1	62	1.0,2.0,3.0,4.0,5.0	9,15,23,8,7
51	2	64	1.0,2.0,3.0,4.0,5.0,6.0	11,19,17,10,5,2
51	3	63	1.0,2.0,3.0,4.0,5.0,6.0	9,14,26,9,3,2
51	4	64	1.0,2.0,3.0,4.0,5.0,6.0	10,17,22,10,3,2
51	5	65	1.0,2.0,3.0,4.0,5.0,6.0	12,17,22,7,5,2
52	1	60	1.0,2.0,3.0,4.0,5.0,6.0,7.0	10,14,21,9,4,1,1
52	2	63	1.0,2.0,3.0,4.0,5.0,6.0	10,13,26,10,3,1
52	3	61	1.0,2.0,3.0,4.0,5.0,6.0	10,14,21,10,3,3
52	4	62	1.0,2.0,3.0,4.0,5.0	10,13,26,6,7
52	5	58	1.0,2.0,3.0,4.0,5.0,6.0,7.0	9,15,20,8,2,2,2
53	1	63	1.0,2.0,3.0,4.0,5.0,6.0,7.0	7,14,30,7,3,1,1
53	2	66	1.0,2.0,3.0,4.0,5.0,7.0	11,16,26,7,4,2
53	3	61	1.0,2.0,3.0,4.0,5.0,6.0,8.0	9,13,24,10,3,1,1
53	4	63	1.0,2.0,3.0,4.0,5.0,6.0	10,15,24,6,6,2
53	5	66	1.0,2.0,3.0,4.0,5.0,6.0	11,14,27,8,5,1
54	1	61	1.0,2.0,3.0,4.0,5.0,6.0	10,12,25,6,7,1
54	2	60	1.0,2.0,3.0,4.0,5.0,6.0	10,11,25,6,7,1
