Cell number	Iteration	End Cell Number	Median QS Per Cell	Number of Cells with >=3 QS	Fraction of Cells with >=3 QS	Network Depth
47	1	69	2.77	15	0.22	21
47	2	63	2.79	13	0.21	21
47	3	65	2.82	17	0.26	19
47	4	65	2.8	13	0.2	18
47	5	66	2.77	12	0.18	21
48	1	67	2.78	14	0.21	20
48	2	66	2.77	15	0.23	19
48	3	65	2.82	16	0.25	18
48	4	68	2.81	16	0.24	19
48	5	69	2.75	15	0.22	20
49	1	65	2.77	13	0.2	16
49	2	61	2.8	15	0.25	30
49	3	65	2.78	15	0.23	16
49	4	64	2.81	15	0.23	18
49	5	70	2.73	12	0.17	19
50	1	68	2.74	15	0.22	19
50	2	66	2.73	15	0.23	18
50	3	63	2.81	14	0.22	17
50	4	68	2.74	15	0.22	19
50	5	70	2.69	14	0.2	19
51	1	62	2.82	15	0.24	18
51	2	64	2.77	17	0.27	17
51	3	63	2.83	14	0.22	18
51	4	64	2.77	15	0.23	18
51	5	65	2.72	14	0.22	19
52	1	60	2.83	15	0.25	18
52	2	63	2.78	14	0.22	17
52	3	61	2.85	16	0.26	16
52	4	62	2.79	13	0.21	15
52	5	58	2.88	14	0.24	15
53	1	63	2.87	12	0.19	19
53	2	66	2.77	13	0.2	19
53	3	61	2.89	15	0.25	21
53	4	63	2.83	14	0.22	20
53	5	66	2.77	14	0.21	19
54	1	61	2.85	14	0.23	16
54	2	60	2.87	14	0.23	16
54	3	61	2.84	14	0.23	18
54	4	62	2.85	12	0.19	18
54	5	62	2.81	14	0.23	18
55	1	61	2.85	16	0.26	18
55	2	63	2.79	16	0.25	17
55	3	64	2.81	13	0.2	20
55	4	61	2.85	14	0.23	18
55	5	63	2.79	14	0.22	19
56	1	64	2.78	14	0.22	17
56	2	63	2.75	13	0.21	19
56	3	64	2.77	12	0.19	18
56	4	65	2.77	15	0.23	19
56	5	63	2.75	15	0.24	18
57	1	64	2.8	16	0.25	16
57	2	64	2.83	16	0.25	18
57	3	60	2.87	15	0.25	17
57	4	60	2.87	16	0.27	15
57	5	61	2.82	15	0.25	15
58	1	64	2.86	17	0.27	20
58	2	65	2.78	15	0.23	18
58	3	63	2.81	16	0.25	16
58	4	63	2.78	15	0.24	15
58	5	63	2.83	16	0.25	17
59	1	64	2.78	17	0.27	17
59	2	69	2.75	14	0.2	19
59	3	69	2.74	15	0.22	19
59	4	65	2.82	16	0.25	19
59	5	64	2.8	16	0.25	20
60	1	62	2.81	15	0.24	17
60	2	62	2.81	15	0.24	18
60	3	63	2.83	14	0.22	18
60	4	60	2.9	16	0.27	18
60	5	63	2.84	15	0.24	17
