Start cell number	Iteration	End cell number	Gate Number Per Cell	Gate Number Distribution
47	1	69	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
47	2	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
47	3	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
47	4	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
47	5	66	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
48	1	67	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
48	2	66	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
48	3	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
48	4	68	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
48	5	69	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
49	1	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
49	2	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
49	3	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
49	4	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
49	5	70	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b5f0>']
50	1	68	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
50	2	66	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
50	3	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
50	4	68	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
50	5	70	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
51	1	62	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
51	2	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
51	3	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
51	4	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
51	5	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
52	1	60	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
52	2	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
52	3	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
52	4	62	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
52	5	58	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
53	1	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
53	2	66	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
53	3	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
53	4	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
53	5	66	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
54	1	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
54	2	60	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
54	3	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
54	4	62	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
54	5	62	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
55	1	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
55	2	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
55	3	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
55	4	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
55	5	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
56	1	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
56	2	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
56	3	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
56	4	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
56	5	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
57	1	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
57	2	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
57	3	60	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
57	4	60	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
57	5	61	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
58	1	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
58	2	65	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
58	3	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
58	4	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
58	5	63	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
59	1	64	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
59	2	69	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
59	3	69	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']	['<generator object compare_gatenum_distribution.<locals>.<genexpr> at 0x7fdc7956b660>']
