sample	n	k	graph_path	lib_path	in_nodes	out_nodes	output_path
1	20	1	./Random graphs	./lib	0,1,2	3	./results
2	20	2	./Random graphs	./lib	0,1,2	3	./results
3	20	3	./Random graphs	./lib	0,1,2	3	./results
4	20	4	./Random graphs	./lib	0,1,2	3	./results
5	20	5	./Random graphs	./lib	0,1,2	3	./results
6	20	6	./Random graphs	./lib	0,1,2	3	./results
7	20	7	./Random graphs	./lib	0,1,2	3	./results
8	20	8	./Random graphs	./lib	0,1,2	3	./results
9	20	9	./Random graphs	./lib	0,1,2	3	./results
10	20	10	./Random graphs	./lib	0,1,2	3	./results
