cut	53
Partition 0	13,67,72,80
Partition 1	5,29,85
Partition 2	11,38,88
Partition 3	25,53,69
Partition 4	15,19,86
Partition 5	58,66,78
Partition 6	9,60,62
Partition 7	20,48,49
Partition 8	8,18,73
Partition 9	21,54,55
Partition 10	27,32,40
Partition 11	4,59,63,87
Partition 12	24,74,82
Partition 13	22,65,34
Partition 14	46,16,89
Partition 15	2,6,23
Partition 16	75,84,50
Partition 17	12,43,76
Partition 18	35,56,77
Partition 19	14,17
Partition 20	37,3,68,51
Partition 21	0,7,26
Partition 22	30,31,44
Partition 23	83,36,39
Partition 24	41,47,70
Partition 25	33,61,64
Partition 26	1,10,52,79
Partition 27	45,57
Partition 28	28,71,42,81
