cut	112
Partition 0	34,7,15
Partition 1	76,10,58
Partition 2	83,9,86
Partition 3	64,26,22
Partition 4	72,70,75
Partition 5	88,87,39
Partition 6	17,67,68
Partition 7	0,11,51,20
Partition 8	69,85,8,25
Partition 9	27,47,46
Partition 10	50,73,52
Partition 11	38,30,54
Partition 12	71,45,33,32,36
Partition 13	6,53,82
Partition 14	37,41,78
Partition 15	4,89,43,5
Partition 16	1,24,28
Partition 17	79,48,65
Partition 18	29,81,31
Partition 19	2,42,44,16
Partition 20	74,66,12
Partition 21	3,63,14
Partition 22	40,57,80,56
Partition 23	84,21,49,59
Partition 24	13,77,18
Partition 25	35,55,23
Partition 26	19,61,60,62
