cut	54
Partition 0	3586,3587,3588
Partition 1	3574,3575
Partition 2	3573,3577,3576
Partition 3	3560,3561,3559
Partition 4	3524,3572,3584
Partition 5	3520,3585,3532,3531
Partition 6	3567,3568,3565
Partition 7	3541,3566,3540
Partition 8	3542,3544,3526
Partition 9	3562,3557,3558
Partition 10	3528,3523,3529
Partition 11	3530,3527,3564,3569
Partition 12	3551,3552,3550
Partition 13	3548,3549,3553
Partition 14	3547,3545,3546
Partition 15	3534,3536,3537
Partition 16	3583,3582,3581
Partition 17	3579,3535,3580,3578
Partition 18	3598,3556,3521
Partition 19	3522,3539,3555
Partition 20	3538,3554,3533
Partition 21	3525,3543,3563
Partition 22	3589,3590,3591
Partition 23	3594,3593,3592
Partition 24	3597,3595,3570,3571,3596
