Npart	Sol	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
4	7	18	lc	False	True	True	True	2	2	6	5
4	18	18	lc	False	True	True	True	2	2	6	5
4	19	18	lc	False	True	True	True	2	2	6	5
4	42	18	lc	False	True	True	True	2	2	6	5
3	6	18	lc	True	True	True	True	2	1	4	4
3	19	18	lc	True	True	True	True	2	1	4	4
3	25	18	lc	True	True	True	True	2	1	4	4
3	49	18	lc	True	True	True	True	2	1	4	4
2	1	18	lc	True	True	False	True	2	1	3	3
2	2	18	lc	True	True	False	True	2	1	3	3
