iteration	t
1	212,892,986,1063,1555,4844,7204
2	111,2187,2272,2915,3188,3661,7975,23646
3	188,356,708,3494,5937,9041,11311,12243
4	520,880,1167,1519,2203,2369,5240
5	102,326,976,1116,2551,2565,77580,78408
6	120,492,604,961,1019,1783,2766
7	84,1053,1590,2029,2512,2806,3720,4318
8	18,742,1157,1189,1890,15361,19913
9	395,926,2318,2667,3337,7889
10	231,263,632,676,732,1003,2957
