cut	48
Partition 0	3,10,72,82,87
Partition 1	36,16,30,33,80
Partition 2	21,29,76,57,84
Partition 3	2,18,31,45,96
Partition 4	60,61,97,70,81
Partition 5	7,12,39,42,69,91
Partition 6	32,44,65,49,92
Partition 7	55,94,53,99
Partition 8	4,37,40,58,88
Partition 9	20,6,59,67,22,95
Partition 10	1,11,35,89
Partition 11	13,51,52,74,85
Partition 12	9,15,19,50,56
Partition 13	0,25,47,71,93
Partition 14	43,62,66,79,86
Partition 15	8,64,68,73,78,90
Partition 16	5,24,48,77,83
Partition 17	23,34,46,54,98
Partition 18	28,14,17,75
Partition 19	41,26,27,38,63
