iteration	t
1	34,101,118,595,622,681,709,720,1759,1917,1919,2094,4081,6845
2	129,135,143,150,154,161,174,180,182,220,261,311,318,360,366,368,380,409,496,996,5846,5859,5983,6151,6162,6178,6179,6181,6186,6187,6191,6264,6333,6345,6356,6426,6748,6823,6847,6873,7055,7448,9448,9792
3	29,38,66,76,184,254,255,263,291,428,432,696,1572,2891,3077,3190,5014,5034,5097,6592
4	9,28,36,121,127,159,870,916,970,1120,1143,1161,1421,1783,1853,2074,2099,3430
5	49,61,87,116,126,131,178,211,558,600,2216
6	51,138,173,614
7	8,173,175,677,1056
8	55,68,521,714,758
9	86,107,149
10	78,139,185,261,382,400,873,1193,1532,5742
