iteration	t
1	26,68,107,241,246,254,331,351,372,514,644,675,698,852,871,880,1127,1431,1484,2370,2825,3070,3178,3300,3678,4255,5351,5376,5572,5767,6194,6935,7166,8375,8397,12311,12932,13609,15186,15366,34974
2	115,196,225,280,322,352,376,565,701,720,783,860,908,955,995,1092,1095,1294,1762,1817,1827,1890,2196,2199,2327,2875,3053,3261,3312,3376,4021,4186,4455,5872,55725
3	22,63,70,88,161,167,210,252,386,402,443,464,494,711,806,974,978,1485,1634,1820,2161,2172,2254,2447,2598,2659,2915,3120,3251,3420,4105,5186,6918,21863,36479,36607,36622
4	212,299,365,670,694,736,801,885,907,924,940,951,999,1030,1068,1345,1444,1517,1748,1801,1943,1946,2188,2467,2479,3119,3552,4610,7028,7071,9209,69601,76062
5	7,34,75,79,176,209,232,276,296,324,331,392,414,498,501,629,802,815,839,853,958,987,993,1228,1234,1454,1947,2009,2277,2590,2871,2998,3312,4261,5295,10544,72612,73011,73212,90045
6	106,123,222,239,325,388,531,622,669,797,809,1116,1160,1167,1243,1313,1337,1537,1581,1706,1762,1917,1981,2165,2325,2747,3067,6368,7899,8567,10423,12206,29086,30456,43843
7	145,147,259,291,306,326,335,424,455,593,607,639,761,804,904,1101,1149,1161,1618,1784,1882,2004,2096,2258,2853,2861,3585,4302,6056,6762,8105,9804,32234,39398,73350,75638,78593,223867,478276
8	80,134,146,198,275,348,414,462,526,662,793,832,972,1029,1079,1156,1190,1264,1373,1467,1647,1844,2089,2193,2353,2425,2923,3967,5422,5980,7107,13925,15428,15895,21303,27737,35043,41680
9	379,400,414,433,435,549,569,609,693,820,835,913,914,1033,1119,1167,1318,2121,2349,2420,2602,2890,2905,3269,3705,3833,4014,4026,6435,6569,6796,8104,13224,19328,20287,29063,29632,48115,48764
10	90,129,182,252,253,302,353,404,414,451,505,551,564,571,677,726,788,910,971,1035,1083,1117,1303,1551,1569,1634,2404,2767,2887,2936,3627,4982,7335,8861,12264,22544,53847,71418,87401
