path	1
T	8
cut	44
Partition 0	86,29,91,99,39,48
Partition 1	3,65,6,24,0,95
Partition 2	1,45,20,81,90,82,58
Partition 3	67,16,18,21,76,66,87
Partition 4	9,14,78,34,53,85
Partition 5	50,25,79,97,43,70,75
Partition 6	7,63,80,23,28,68,44
Partition 7	32,33,96,93,64,83
Partition 8	4,55,35,22,46,88,57
Partition 9	38,5,15,47,8,84,56
Partition 10	2,51,12,61,17,40,36
Partition 11	11,26,49,62,98,54
Partition 12	71,89,13,94,37,72,92
Partition 13	69,31,42,52,59,73,74
Partition 14	10,77,27,30,41,60,19
path	2
T	8
cut	44
Partition 0	86,29,91,99,39,48
Partition 1	3,65,6,24,0,95
Partition 2	1,45,20,81,90,82,58
Partition 3	67,16,18,21,76,66,87
Partition 4	9,14,78,34,53,85
Partition 5	50,25,79,97,43,70,75
Partition 6	7,63,80,23,28,68,44
Partition 7	32,33,96,93,64,83
Partition 8	4,55,35,22,46,88,57
Partition 9	38,5,15,47,8,84,56
Partition 10	2,51,12,61,17,40,36
Partition 11	11,26,49,62,98,54
Partition 12	71,89,13,94,37,72,92
Partition 13	69,31,42,52,59,73,74
Partition 14	10,77,27,30,41,60,19
path	3
T	8
cut	44
Partition 0	86,29,91,99,39,48
Partition 1	3,65,6,24,0,95
Partition 2	1,45,20,81,90,82,58
Partition 3	67,16,18,21,76,66,87
Partition 4	9,14,78,34,53,85
Partition 5	50,25,79,97,43,70,75
Partition 6	7,63,80,23,28,68,44
Partition 7	32,33,96,93,64,83
Partition 8	4,55,35,22,46,88,57
Partition 9	38,5,15,47,8,84,56
Partition 10	2,51,12,61,17,40,36
Partition 11	11,26,49,62,98,54
Partition 12	71,89,13,94,37,72,92
Partition 13	69,31,42,52,59,73,74
Partition 14	10,77,27,30,41,60,19
