cut	65
Partition 0	12,30
Partition 1	38,44,68
Partition 2	46,16,48
Partition 3	59,43
Partition 4	8,34,22
Partition 5	11,55,39
Partition 6	10,45
Partition 7	21,40,18
Partition 8	1,35,47
Partition 9	61,19
Partition 10	5,7,52
Partition 11	4,36,65
Partition 12	32,37,63
Partition 13	23,42
Partition 14	60,67,64
Partition 15	3,14,17
Partition 16	49,28
Partition 17	20,25,50
Partition 18	9,57,31
Partition 19	13,26
Partition 20	51,69,66
Partition 21	0,58,33
Partition 22	41,24,53
Partition 23	2,27
Partition 24	6,62,56
Partition 25	15,29,54
