iteration	t
1	29,40,75,90,98,105,119,132,159,215,257,410,778,847,848,1293,6847,7742,7761
2	9,13,31,43,61,87,110,112,132,202,203,245,261,313,343,349,700,1583,1811,2508,4859
3	15,19,30,42,45,60,70,89,94,99,133,158,1246,3558
4	2,6,19,32,33,58,78,98,101,143,240,301,307,326,330,358,491,639,1815,2116
5	53,77,88,91,94,101,113,121,129,158,167,176,188,197,290,315,336,671,756,1242,1427,1492,1798,1922
6	142,160,188,202,204,209,210,968,9201,11288
7	74,1032,1089
8	3371,4791,13484,13983
9	3,183,193,733,1799
10	23,158,168,5884,6009,6015,9627,9644,9815,14876
