cut	65
Partition 0	30,42
Partition 1	22,61,68
Partition 2	65,21,37
Partition 3	28,9,59
Partition 4	25,26,52
Partition 5	6,46,45,60
Partition 6	2,19
Partition 7	11,33
Partition 8	15,63,69
Partition 9	17,31
Partition 10	36,5,56
Partition 11	8,13,20
Partition 12	18,32,55
Partition 13	16,47,43
Partition 14	41,40,44
Partition 15	62,14,49
Partition 16	67,10,24
Partition 17	23,3
Partition 18	12,38
Partition 19	27,50,51
Partition 20	54,35,1
Partition 21	4,48,29
Partition 22	39,58
Partition 23	0,53,57
Partition 24	7,34,64,66
