cut	52
Partition 0	3570,3571
Partition 1	3521,3583,3582
Partition 2	3585,3584,3586
Partition 3	3526,3563
Partition 4	3522,3527,3530
Partition 5	3588,3531,3587
Partition 6	3589,3591,3590
Partition 7	3578,3574
Partition 8	3569,3568,3555
Partition 9	3537,3572,3573
Partition 10	3576,3577
Partition 11	3575,3561,3562
Partition 12	3539,3538,3540
Partition 13	3523,3528,3529,3525
Partition 14	3566,3565
Partition 15	3567,3580,3579
Partition 16	3520,3581
Partition 17	3533,3532
Partition 18	3534,3535,3536
Partition 19	3559,3524
Partition 20	3557,3558,3556,3554
Partition 21	3564,3560
Partition 22	3546,3550
Partition 23	3547,3548,3549
Partition 24	3544,3545
Partition 25	3541,3543,3542
Partition 26	3594,3593,3592
Partition 27	3553,3551,3552
