cut	107
Partition 1	2130,2139,2076
Partition 2	2138,2140
Partition 3	2129,2146,2068
Partition 4	2066,2142
Partition 5	2133,2135,2134,2136,2137
Partition 6	2131,2132
Partition 7	2099,2100
Partition 8	2088,2089
Partition 9	2082,2083,2062
Partition 10	2150,2151
Partition 11	2143,2144
Partition 12	2147,2145,2148,2141,2149
Partition 13	2096,2075
Partition 14	2077,2097,2067
Partition 15	2090,2092
Partition 16	2065,2079,2080
Partition 17	2085,2086,2087
Partition 18	2081,2084
Partition 19	2094,2095
Partition 20	2098,2105
Partition 21	2102,2103,2101,2104
Partition 22	2069,2111
Partition 23	2110
Partition 24	2093,2109,2107,2108
Partition 25	2120,2179
Partition 26	2180,2181
Partition 27	2118,2073,2119
Partition 28	2116,2117
Partition 29	2122,2123
Partition 30	2064,2125,2126
Partition 31	2191,2190
Partition 32	2187,2189,2188
Partition 33	2196,2192,2193,2194,2195
Partition 34	2197,2198
Partition 35	2186
Partition 36	2124,2183,2182
Partition 37	2161,2165,2167,2170
Partition 38	2070,2163,2164,2166
Partition 39	2169,2154
Partition 40	2162
Partition 41	2158,2157,2160
Partition 42	2072,2156
Partition 43	2114,2071,2115
Partition 44	2168,2171
Partition 45	2153,2152
Partition 46	2173,2177
Partition 47	2127,2128,2174,2175,2172
Partition 48	2176,2178
Partition 49	2121
Partition 50	2155,2159
Partition 51	2112,2113
Partition 52	2185,2199,2200,2184
Partition 53	2074
Partition 54	2078,2091
Partition 55	2063,2106
