cut	35
Partition 0	15,16
Partition 1	62,33,75
Partition 2	73,72,65
Partition 3	0,14,57
Partition 4	55,63,54
Partition 5	18,17,49
Partition 6	13,64,12
Partition 7	22,66
Partition 8	24,23,7
Partition 9	3,53,52
Partition 10	6,5,51
Partition 11	8,30,50
Partition 12	71,70
Partition 13	79,78,76,77
Partition 14	69,68
Partition 15	4,20,21
Partition 16	36,37,67
Partition 17	46,29,47
Partition 18	9,45,25
Partition 19	74,19,48
Partition 20	34,32,31,35
Partition 21	61,60
Partition 22	2,1,26
Partition 23	27,28,56
Partition 24	59,58
Partition 25	11,10,41
Partition 26	40,43,39
Partition 27	44,38,42
