cut	52
Partition 0	43,60
Partition 1	31,33,59
Partition 2	76,46,58
Partition 3	2,78,56
Partition 4	72,17,55
Partition 5	22,28,48
Partition 6	20,4
Partition 7	36,49,44
Partition 8	1,65,0
Partition 9	12,42,75
Partition 10	18,64,21
Partition 11	6,8,53
Partition 12	3,27,35,71
Partition 13	32,29,40
Partition 14	23,26,62
Partition 15	41,24,34
Partition 16	7,30,45
Partition 17	77,54,67
Partition 18	5,10,61
Partition 19	19,37,15,66,57
Partition 20	9,25
Partition 21	11,50,63
Partition 22	16,39,69
Partition 23	13,73
Partition 24	14,47,51
Partition 25	70,38,74
Partition 26	79,52,68
