cut	86
Partition 0	6,67,86
Partition 1	32,20,76
Partition 2	11,35,62
Partition 3	16,37,51
Partition 4	17,19,30,36
Partition 5	31,65,85
Partition 6	0,75,53,54
Partition 7	12,25,64
Partition 8	7,8,26
Partition 9	47,69,71
Partition 10	22,3,74
Partition 11	83,81,89
Partition 12	42,43,68
Partition 13	38,87,33,63
Partition 14	29,70,82
Partition 15	52,24,72
Partition 16	49,78,80
Partition 17	5,84,59
Partition 18	61,44,18
Partition 19	2,58,88
Partition 20	1,41,23,77
Partition 21	9,28,60
Partition 22	56,46,13
Partition 23	79,39,14
Partition 24	4,40,73
Partition 25	10,55,57,45
Partition 26	21,66,48
Partition 27	15,50,27,34
