cut	69
Partition 0	68,9,28,25
Partition 1	8,83,15,34
Partition 2	38,29,39,42
Partition 3	74,30,78,2,88
Partition 4	11,26,53,37,87
Partition 5	33,41,36,73
Partition 6	43,14,18,21,76
Partition 7	22,16,31,69
Partition 8	12,13,71,84,72
Partition 9	6,54,10,85,61
Partition 10	1,89,47,19
Partition 11	55,64,65,77
Partition 12	4,40,75,60
Partition 13	20,51,46,52
Partition 14	32,0,24,79,66
Partition 15	58,62,63,70
Partition 16	81,23,49,27,44
Partition 17	7,5,50,17,48
Partition 18	80,45,35,67,57
Partition 19	3,56,86,59,82
