cut	46
Partition 0	5,48,52,72
Partition 1	2,71,50,69
Partition 2	10,44,93,94
Partition 3	1,41,45,62
Partition 4	26,34,47,82,90
Partition 5	14,16,57,23
Partition 6	0,19,31,65,92
Partition 7	12,13,64,77
Partition 8	55,74,81,95,97
Partition 9	8,40,88,59
Partition 10	7,27,42,99
Partition 11	36,56,63,79
Partition 12	18,6,22,37
Partition 13	3,17,21,38,91
Partition 14	24,11,32,39,73
Partition 15	9,15,30,43
Partition 16	53,60,80,85
Partition 17	20,46,35,75
Partition 18	28,49,58,68
Partition 19	4,25,67,70,76,87
Partition 20	54,78,89,96,98
Partition 21	83,61,86
Partition 22	29,33,51,66,84
