cut	25
Partition 0	4,1,3,78
Partition 1	85,64,69
Partition 2	33,19,76,35
Partition 3	24,87,86,25
Partition 4	82,53,59,74,60
Partition 5	45,73,40,63,84
Partition 6	0,89,18,37
Partition 7	65,66,21,67
Partition 8	22,31,52,46,75
Partition 9	56,2,50,51
Partition 10	16,49,28,55,29,57
Partition 11	41,30,80
Partition 12	5,79,72,11
Partition 13	42,43,61
Partition 14	48,38,54,68
Partition 15	34,8,17,23
Partition 16	39,12,26
Partition 17	70,7,88,83
Partition 18	81,36,14,71,62
Partition 19	32,9,15,13
Partition 20	77,6,27,20
Partition 21	44,10,47,58
