iteration	t
1	150,307,527,643,1119,1276
2	12,107,263,447,485
3	281,322,358,366,447,679,942,1644,2167,2190,3698
4	229,281,376,1529
5	113,450,528,865,871,1175,2630,5425
6	107,170,262,882,1151
7	26,38,1018,1051,1215,2950
8	168,269,308,339,1604,2243,3329,3418,3954,3975
9	169,299,341,351,379,682,749
10	219,301,408,1073,1360,3879
