targetN	Iteration	EndN	Nodes	Constraint	Valid Motif_METIS	Valid Motif_Optimized	Cycle Free_METIS	Cycle Free_Optimized	T_Metis	T_Optimized	cut_Metis	cut_Optimized
9	3	9	17	lc	True	True	False	True	4	4	11	9
11	0	11	17	lc	True	True	True	True	5	5	12	12
11	1	11	17	lc	True	True	True	True	5	5	12	12
11	2	11	17	lc	True	True	True	True	5	5	12	12
11	3	11	17	lc	True	True	True	True	5	5	12	12
11	4	11	17	lc	True	True	True	True	5	5	12	12
11	5	11	17	lc	True	True	True	True	5	5	12	12
7	0	7	17	lc	True	True	True	True	4	4	9	9
7	1	7	17	lc	True	True	True	True	4	4	9	9
7	2	7	17	lc	True	True	True	True	4	4	9	9
7	3	7	17	lc	True	True	True	True	4	4	9	9
7	4	7	17	lc	True	True	True	True	4	4	9	9
7	5	7	17	lc	True	True	True	True	4	4	9	9
6	1	6	17	lc	False	True	False	True	4	3	9	6
10	0	10	17	lc	True	True	True	True	5	5	11	11
10	1	10	17	lc	True	True	True	True	5	5	11	11
10	2	10	17	lc	True	True	True	True	5	5	11	11
10	3	10	17	lc	True	True	True	True	5	5	11	11
10	4	10	17	lc	True	True	True	True	5	5	11	11
10	5	10	17	lc	True	True	True	True	5	5	11	11
8	0	8	17	lc	True	True	True	True	3	3	9	9
8	1	8	17	lc	True	True	True	True	3	3	9	9
8	2	8	17	lc	True	True	True	True	3	3	9	9
8	3	8	17	lc	True	True	True	True	3	3	9	9
8	4	8	17	lc	True	True	True	True	3	3	9	9
8	5	8	17	lc	True	True	True	True	3	3	9	9
4	0	4	17	lc	True	True	True	True	2	2	5	5
4	1	4	17	lc	True	True	True	True	2	2	5	5
4	2	4	17	lc	True	True	True	True	2	2	5	5
4	3	4	17	lc	True	True	True	True	2	2	5	5
4	4	4	17	lc	True	True	True	True	2	2	5	5
4	5	4	17	lc	True	True	True	True	2	2	5	5
3	1	5	17	lc	False	True	False	True	2	2	5	4
3	4	5	17	lc	False	True	False	True	2	2	5	4
2	1	3	17	lc	True	True	False	True	2	2	3	4
2	3	3	17	lc	True	True	False	True	2	2	3	4
2	4	3	17	lc	True	True	False	True	2	2	3	4
2	5	3	17	lc	True	True	False	True	2	2	3	4
5	5	5	17	lc	True	True	False	True	3	2	7	6
7	1	7	17	hc	False	True	True	True	4	3	9	8
6	1	5	17	hc	False	True	False	True	4	3	9	6
6	3	5	17	hc	False	True	False	True	4	3	9	6
6	4	5	17	hc	False	True	False	True	4	3	9	6
8	1	8	17	hc	False	True	True	True	3	3	9	7
4	2	5	17	hc	False	True	True	True	2	2	5	4
3	1	3	17	hc	False	True	False	True	2	2	5	4
3	3	3	17	hc	False	True	False	True	2	2	5	4
3	5	3	17	hc	False	True	False	True	2	2	5	4
2	1	5	17	hc	True	True	False	True	2	2	3	5
2	2	5	17	hc	True	True	False	True	2	2	3	5
2	3	5	17	hc	True	True	False	True	2	2	3	5
2	4	5	17	hc	True	True	False	True	2	2	3	5
5	1	4	17	hc	False	True	False	True	3	2	7	4
5	5	4	17	hc	False	True	False	True	3	2	7	4
