cut	45
Partition 0	45,51,79
Partition 1	12,29,42,73
Partition 2	14,64,74
Partition 3	48,58,72
Partition 4	2,50,52,56,67
Partition 5	4,10,26,61
Partition 6	1,6,13,23
Partition 7	21,40,49,77
Partition 8	15,22,35,53,69
Partition 9	0,16,20,27,36,71
Partition 10	5,30,32,80,43
Partition 11	24,60,68,86
Partition 12	9,19,82,88
Partition 13	17,28,85,57
Partition 14	11,25,31,44
Partition 15	8,54,59,81,89
Partition 16	47,55,87
Partition 17	18,39,46,70,62
Partition 18	33,83,63,84
Partition 19	3,41,66
Partition 20	7,34,37,65
Partition 21	38,75,76,78
