iteration	t
1	8,13,43,71,82,144,167,195,677,700
2	29,32,45,52,73,75,108,143,161,165,170,184,207,212,215,256,300,355,388,389,418,836
3	260,263,304,315,318,347,367,408,431,436,440,450,452,453,487,490,506,508,517,523,653,687,753,781,843,851,915,919,932,941,953,979,1055,1062,1105,1202
4	262,272,301,306,309,324,342,358,391,404,564,567,576,620,850,901,902,944,955,1019,1181,1205,1273,1349,1373,1388,1396,1447,1746,2113,2115,2138,2178,2226,2428,4275,4285,4602
5	438,482,507,511,516,518,539,540,549,561,595,635,655,667,758,763,787,803,805,809,820,859,862,895,1063,1362,1506,1979,2928,2938,3122,3282
6	93,493,495,3208
7	4,13,154,1209,2230
8	5,94,487,2703,4978,6378,7609,8875
9	3,180,220,4068
10	40,46,151,161
