Cell number	Iteration	End Cell Number	Median QS Per Cell	Number of Cells with >=3 QS	Fraction of Cells with >=3 QS	Network Depth
56	9	38	3.58	18	0.47	16
56	10	39	3.72	19	0.49	16
57	1	37	3.78	17	0.46	16
57	2	40	3.62	20	0.5	18
57	3	40	3.78	15	0.38	28
57	4	39	3.79	17	0.44	25
57	5	39	3.67	16	0.41	17
57	6	39	3.77	17	0.44	28
57	7	38	3.74	19	0.5	16
57	8	39	3.77	16	0.41	24
57	9	40	3.65	17	0.42	16
57	10	39	3.64	17	0.44	17
58	1	41	3.71	18	0.44	17
58	2	42	3.52	14	0.33	28
58	3	41	3.56	15	0.37	14
58	4	38	3.71	16	0.42	14
58	5	40	3.6	14	0.35	17
58	6	38	3.68	16	0.42	16
58	7	43	3.58	17	0.4	17
58	8	41	3.54	16	0.39	14
58	9	39	3.72	16	0.41	21
58	10	42	3.55	17	0.4	16
59	1	37	3.86	17	0.46	18
59	2	37	3.97	18	0.49	18
59	3	37	3.86	19	0.51	16
59	4	41	3.51	14	0.34	16
59	5	40	3.85	19	0.47	20
59	6	38	3.87	18	0.47	23
59	7	38	3.95	19	0.5	26
59	8	36	3.97	20	0.56	26
59	9	37	4.0	17	0.46	17
59	10	38	3.87	18	0.47	17
60	1	39	3.69	14	0.36	15
60	2	39	3.69	15	0.38	18
60	3	39	3.87	19	0.49	19
60	4	41	3.71	16	0.39	31
60	5	41	3.68	16	0.39	29
60	6	38	3.95	19	0.5	24
60	7	42	3.79	16	0.38	16
60	8	38	3.92	16	0.42	23
60	9	42	3.64	16	0.38	22
60	10	39	3.82	16	0.41	23
61	1	39	3.9	17	0.44	22
61	2	38	3.95	19	0.5	25
61	3	38	4.08	22	0.58	29
61	4	40	3.78	23	0.57	20
61	5	36	4.0	17	0.47	16
61	6	39	3.95	18	0.46	27
61	7	41	3.56	17	0.41	23
61	8	38	3.95	18	0.47	15
61	9	40	3.92	19	0.47	21
61	10	40	3.82	20	0.5	21
62	1	39	3.59	18	0.46	17
62	2	40	3.72	18	0.45	16
62	3	40	3.6	17	0.42	18
62	4	38	3.95	21	0.55	18
62	5	38	3.87	20	0.53	16
62	6	35	4.14	18	0.51	22
62	7	39	3.87	18	0.46	11
62	8	39	3.95	20	0.51	28
62	9	42	3.55	19	0.45	14
62	10	41	3.61	17	0.41	17
63	1	39	3.56	19	0.49	22
63	2	42	3.62	15	0.36	16
63	3	38	3.84	18	0.47	27
63	4	38	3.84	17	0.45	24
63	5	40	3.78	17	0.42	15
63	6	40	3.52	20	0.5	25
63	7	38	3.74	18	0.47	18
63	8	37	3.92	15	0.41	22
63	9	38	3.68	18	0.47	18
63	10	39	3.64	17	0.44	24
65	1	45	3.64	17	0.38	18
65	2	40	3.7	16	0.4	26
65	3	41	3.71	17	0.41	23
65	4	42	3.69	15	0.36	16
65	5	43	3.63	19	0.44	20
65	6	40	3.85	18	0.45	20
65	7	40	3.8	19	0.47	15
65	8	41	3.71	15	0.37	17
65	9	40	3.88	18	0.45	23
65	10	43	3.77	18	0.42	19
66	1	37	4.14	21	0.57	26
66	2	41	3.83	17	0.41	15
66	3	42	3.83	20	0.48	31
66	4	40	3.72	20	0.5	20
66	5	42	3.6	15	0.36	14
66	6	39	3.79	19	0.49	17
66	7	42	3.6	17	0.4	20
66	8	42	3.67	15	0.36	22
66	9	38	3.95	21	0.55	12
66	10	41	3.51	16	0.39	16
67	1	38	3.82	16	0.42	24
67	2	42	3.83	17	0.4	22
67	3	39	3.77	16	0.41	20
67	4	37	4.11	20	0.54	17
67	5	39	3.77	19	0.49	16
67	6	38	4.03	21	0.55	22
67	7	41	3.76	19	0.46	15
67	8	38	4.0	16	0.42	27
67	9	43	3.56	18	0.42	17
67	10	41	3.66	17	0.41	24
68	1	43	3.72	20	0.47	25
68	2	42	3.64	17	0.4	26
68	3	44	3.48	17	0.39	23
68	4	39	3.87	20	0.51	25
68	5	39	3.82	17	0.44	17
68	6	39	3.82	17	0.44	19
68	7	47	3.43	18	0.38	18
68	8	43	3.56	15	0.35	18
68	9	39	3.97	17	0.44	25
68	10	44	3.64	16	0.36	29
69	1	40	3.72	17	0.42	19
69	2	42	3.74	15	0.36	31
69	3	40	3.8	18	0.45	25
69	4	38	3.95	17	0.45	25
69	5	39	3.95	20	0.51	23
69	6	39	4.05	16	0.41	19
69	7	38	4.08	18	0.47	25
69	8	42	3.6	13	0.31	16
69	9	42	3.67	18	0.43	29
69	10	44	3.61	18	0.41	25
70	1	41	3.71	17	0.41	15
70	2	39	4.03	19	0.49	19
70	3	43	3.56	15	0.35	16
70	4	43	3.51	17	0.4	17
70	5	42	3.55	15	0.36	16
70	6	41	3.78	16	0.39	22
70	7	43	3.91	17	0.4	17
70	8	42	3.64	17	0.4	15
70	9	41	3.85	16	0.39	26
70	10	40	3.92	17	0.42	19
