Start cell number	Iteration	End cell number	Gate Number Per Cell	Gate Number Distribution
58	6	38	1,2,3,4,5	3,6,7,7,15
58	7	43	1,2,3,4,5	4,10,11,8,10
58	8	41	1,2,3,4,5	4,10,8,4,15
58	9	39	1,2,3,4,5	2,9,7,7,14
58	10	42	1,2,3,4,5	5,9,9,6,13
59	1	37	1,2,3,4,5	2,7,4,9,15
59	2	37	1,2,3,4,5	2,6,6,8,15
59	3	37	1,2,3,4,5	1,6,6,12,12
59	4	41	1,2,3,4,5	5,7,10,5,14
59	5	40	1,2,3,4,5	3,9,8,6,14
59	6	38	1,2,3,4,5	4,4,7,9,14
59	7	38	1,2,3,4,5	3,6,6,9,14
59	8	36	1,2,3,4,5	3,2,9,5,17
59	9	37	1,2,3,4,5	3,5,7,5,17
59	10	38	1,2,3,4,5	2,8,7,5,16
60	1	39	1,2,3,4,5	1,10,8,6,14
60	2	39	1,2,3,4,5	3,9,4,9,14
60	3	39	1,2,3,4,5	4,7,6,7,15
60	4	41	1,2,3,4,5	4,11,5,7,14
60	5	41	1,2,3,4,5	3,12,5,8,13
60	6	38	1,2,3,4,5	3,5,9,6,15
60	7	42	1,2,3,4,5	6,6,9,11,10
60	8	38	1,2,3,4,5	3,5,8,8,14
60	9	42	1,2,3,4,5	6,8,8,7,13
60	10	39	1,2,3,4,5	2,8,8,8,13
61	1	39	1,2,3,4,5	3,6,7,12,11
61	2	38	1,2,3,4,5	5,4,5,9,15
61	3	38	1,2,3,4,5	1,7,10,6,14
61	4	40	1,2,3,4,5	5,6,7,9,13
61	5	36	1,2,3,4,5	2,6,3,9,16
61	6	39	1,2,3,4,5	4,4,11,6,14
61	7	41	1,2,3,4,5	4,8,11,4,14
61	8	38	1,2,3,4,5	4,3,10,6,15
61	9	40	1,2,3,4,5	5,7,8,4,16
61	10	40	1,2,3,4,5	5,7,7,6,15
62	1	39	1,2,3,4,5	4,5,9,7,14
62	2	40	1,2,3,4,5	5,5,8,10,12
62	3	40	1,2,3,4,5	5,5,9,8,13
62	4	38	1,2,3,4,5	3,6,7,7,15
62	5	38	1,2,3,4,5	3,6,7,7,15
62	6	35	1,2,3,4,5	1,3,7,9,15
62	7	39	1,2,3,4,5	2,8,5,14,10
62	8	39	1,2,3,4,5	3,4,11,10,11
62	9	42	1,2,3,4,5	6,4,14,7,11
62	10	41	1,2,3,4,5	3,9,11,5,13
63	1	39	1,2,3,4,5	4,6,8,6,15
63	2	42	1,2,3,4,5	6,9,7,6,14
63	3	38	1,2,3,4,5	5,5,6,4,18
63	4	38	1,2,3,4,5	4,6,4,9,15
63	5	40	1,2,3,4,5	4,8,4,13,11
63	6	40	1,2,3,4,5	7,6,3,9,15
63	7	38	1,2,3,4,5	5,5,5,6,17
63	8	37	1,2,3,4,5	4,5,4,7,17
63	9	38	1,2,3,4,5	3,4,9,9,13
63	10	39	1,2,3,4,5	4,6,8,6,15
65	1	45	1,2,3,4,5	4,15,9,7,10
65	2	40	1,2,3,4,5	2,9,9,8,12
65	3	41	1,2,3,4,5	5,8,9,4,15
65	4	42	1,2,3,4,5	5,9,7,10,11
65	5	43	1,2,3,4,5	4,12,9,6,12
65	6	40	1,2,3,4,5	6,2,11,9,12
65	7	40	1,2,3,4,5	2,10,9,5,14
65	8	41	1,2,3,4,5	2,13,8,3,15
65	9	40	1,2,3,4,5	4,9,5,8,14
65	10	43	1,2,3,4,5	3,12,9,10,9
66	1	37	1,2,3,4,5	4,4,4,10,15
66	2	41	1,2,3,4,5	5,8,8,6,14
66	3	42	1,2,3,4,5	5,11,5,8,13
66	4	40	1,2,3,4,5	3,9,7,8,13
66	5	42	1,2,3,4,5	3,13,6,8,12
66	6	39	1,2,3,4,5	5,5,6,9,14
66	7	42	1,2,3,4,5	5,8,10,7,12
66	8	42	1,2,3,4,5	4,11,5,12,10
66	9	38	1,2,3,4,5	3,7,6,6,16
66	10	41	1,2,3,4,5	4,9,8,7,13
67	1	38	1,2,3,4,5	4,6,5,7,16
67	2	42	1,2,3,4,5	6,8,9,5,14
67	3	39	1,2,3,4,5	1,7,11,9,11
