cut	65
Partition 0	52,61
Partition 1	36,5,56
Partition 2	8,13,20
Partition 3	15,69
Partition 4	2,19,63
Partition 5	11,33,59
Partition 6	12,38
Partition 7	6,28,9
Partition 8	31,45,60
Partition 9	21,37
Partition 10	46,25,26
Partition 11	17,22,68
Partition 12	65,30,42
Partition 13	0,50,51
Partition 14	27,54
Partition 15	35,1
Partition 16	7,64
Partition 17	66,58,40
Partition 18	53,34,57
Partition 19	16,47
Partition 20	41,44,43
Partition 21	18,32,55
Partition 22	62,14,49
Partition 23	67,10,24
Partition 24	39,23,3
Partition 25	4,48,29
