cut	94
Partition 0	55,48,47
Partition 1	9,8,10
Partition 2	49,11,12
Partition 3	14,16,15
Partition 4	18,17,19
Partition 5	40,39,38
Partition 6	13,46,37
Partition 7	20,21
Partition 8	22,23,24
Partition 9	27,25,26
Partition 10	29,28
Partition 11	30,31,32
Partition 12	33,35
Partition 13	5,4,6,7
Partition 14	77,76,75
Partition 15	52,51,50
Partition 16	78,56,54
Partition 17	44,45
Partition 18	43,42,41
Partition 19	1,0,2
Partition 20	53,36,34
Partition 21	3,63
Partition 22	62,60,61
Partition 23	57,59,58
Partition 24	79,73,74
Partition 25	72,70,71
Partition 26	64,66,65
Partition 27	69,68,67
