iteration	t
1	26,31,33,44,55,58,76,663,689,3612
2	64,120,195,208,248,317,568,822,858,3177,3569
3	2151,2754,2758,2760,2795,2807,2839,2868,2899,2957,2977,2986,3028,3071,3119,3263,3311
4	329,331,338,339,345,350,359,363,371,376,381,431,468,470,475,494,499,520,526,545,557,567,585,587,617,633,639,649,650,703,756,763,793,798,833
5	9,53,65,121,722,747,937,949,972,1066,3386,3463
6	21
7	1402
8	63,64,75,100
9	1,5,7,94,198,1130,1153,1758,1775,1780,1784,1805,1810
10	90,2667,4128,4148,11603,15897
11	4,15746,30702,39104
